Timestamp,Interface,Action,Temperature,Elapsed Time
2024-07-19T17:55:27.613660,Steering Wheel Knob,Change Temperature,15,12.867684841156006
2024-07-19T17:55:28.893133,Steering Wheel Knob,Change Temperature,16,14.147159576416016
2024-07-19T17:55:28.962495,Steering Wheel Knob,Change Temperature,17,14.216521739959717
2024-07-19T17:55:29.726045,Steering Wheel Knob,Change Temperature,18,14.980071067810059
2024-07-19T17:55:29.791996,Steering Wheel Knob,Change Temperature,19,15.046020984649658
2024-07-19T17:55:30.568666,Steering Wheel Knob,Change Temperature,20,15.822692394256592
2024-07-19T17:55:31.141834,Steering Wheel Knob,Change Temperature,21,16.39586114883423
2024-07-19T17:55:31.653337,Steering Wheel Knob,Change Temperature,22,16.90736484527588
2024-07-19T17:55:32.249720,Steering Wheel Knob,Change Temperature,23,17.50374722480774
2024-07-19T17:55:32.771496,Steering Wheel Knob,Change Temperature,24,18.02552342414856
2024-07-19T17:55:33.308893,Steering Wheel Knob,Change Temperature,25,18.562920808792114
2024-07-19T17:55:52.205843,Steering Wheel Touch,Change Temperature,1,37.45986223220825
2024-07-19T17:55:57.164869,Infotainment Screen Touch,Change Temperature,29,42.41889572143555
2024-07-19T17:57:49.923789,Steering Wheel Knob,Change Temperature,28,155.17781567573547
2024-07-19T17:57:51.227586,Steering Wheel Knob,Change Temperature,27,156.48161244392395
2024-07-19T17:59:57.941379,Infotainment Screen Knob,Change Temperature,21,283.19540524482727
2024-07-19T17:59:58.011565,Infotainment Screen Knob,Change Temperature,22,283.2655916213989
2024-07-19T17:59:58.012083,Infotainment Screen Knob,Change Temperature,23,283.26611042022705
2024-07-19T17:59:58.012553,Infotainment Screen Knob,Change Temperature,24,283.2665812969208
2024-07-19T17:59:58.036184,Infotainment Screen Knob,Change Temperature,24,283.29021072387695
2024-07-19T17:59:58.054343,Infotainment Screen Knob,Change Temperature,25,283.30836963653564
2024-07-19T17:59:58.126590,Infotainment Screen Knob,Change Temperature,28,283.3806176185608
2024-07-19T17:59:58.126649,Infotainment Screen Knob,Change Temperature,26,283.3806777000427
2024-07-19T17:59:58.127163,Infotainment Screen Knob,Change Temperature,27,283.38119101524353
2024-07-19T18:00:02.945548,Infotainment Screen Knob,Change Temperature,27,288.1995747089386
2024-07-19T18:00:02.973112,Infotainment Screen Knob,Change Temperature,24,288.22713828086853
2024-07-19T18:00:02.973166,Infotainment Screen Knob,Change Temperature,25,288.22719287872314
2024-07-19T18:00:02.974145,Infotainment Screen Knob,Change Temperature,26,288.2281725406647
2024-07-19T18:00:02.975759,Infotainment Screen Knob,Change Temperature,23,288.2297863960266
2024-07-19T18:00:04.070535,Steering Wheel Touch,Change Temperature,1,289.3245623111725
2024-07-19T18:00:04.576309,Steering Wheel Touch,Change Temperature,1,289.830335855484
2024-07-19T18:00:05.188828,Steering Wheel Touch,Change Temperature,1,290.4428553581238
2024-07-19T18:00:05.804408,Steering Wheel Touch,Change Temperature,1,291.0584354400635
2024-07-19T18:00:07.448912,Steering Wheel Touch,Change Temperature,-1,292.7029387950897
2024-07-19T18:00:07.959067,Steering Wheel Touch,Change Temperature,1,293.213093996048
2024-07-19T18:00:09.939840,Steering Wheel Touch,Change Temperature,-1,295.19386649131775
2024-07-19T18:00:10.006843,Steering Wheel Touch,Change Temperature,-1,295.26086950302124
2024-07-19T18:00:10.008062,Steering Wheel Touch,Change Temperature,-1,295.2620892524719
2024-07-19T18:00:11.448815,Steering Wheel Touch,Change Temperature,1,296.7028410434723
2024-07-19T18:00:15.767260,Steering Wheel Touch,Change Temperature,1,301.0212857723236
2024-07-19T18:00:15.845375,Infotainment Screen Touch,Change Temperature,17,301.099401473999
2024-07-19T18:00:15.845818,Infotainment Screen Touch,Change Temperature,19,301.0998454093933
2024-07-19T18:00:15.847287,Infotainment Screen Touch,Change Temperature,16,301.1013150215149
2024-07-19T18:00:15.847349,Infotainment Screen Touch,Change Temperature,21,301.10137701034546
2024-07-19T18:00:15.847831,Infotainment Screen Touch,Change Temperature,22,301.101859331131
2024-07-19T18:00:15.848629,Infotainment Screen Touch,Change Temperature,20,301.10265707969666
2024-07-19T18:00:15.850732,Infotainment Screen Touch,Change Temperature,23,301.1047594547272
2024-07-19T18:00:16.038682,Infotainment Screen Knob,Change Temperature,15,301.2927083969116
2024-07-19T18:00:19.227388,Steering Wheel Touch,Change Temperature,1,304.4814143180847
2024-07-19T18:00:24.760041,Steering Wheel Touch,Change Temperature,1,310.0140676498413
2024-07-19T18:00:24.775304,Infotainment Screen Touch,Change Temperature,16,310.02932953834534
2024-07-19T18:00:24.777042,Infotainment Screen Touch,Change Temperature,17,310.03106808662415
2024-07-19T18:00:24.780514,Infotainment Screen Touch,Change Temperature,18,310.0345389842987
2024-07-19T18:00:24.782987,Infotainment Screen Touch,Change Temperature,20,310.03701162338257
2024-07-19T18:00:24.785245,Infotainment Screen Touch,Change Temperature,22,310.039270401001
2024-07-19T18:00:24.787037,Infotainment Screen Touch,Change Temperature,21,310.0410635471344
