Timestamp,Interface,Action,Temperature,Elapsed Time
2024-08-07T17:44:55.906323,Audio,Play t17.mp3,22,13.21622896194458
2024-08-07T17:44:58.694107,Steering Wheel Knob,Change Temperature,21,16.004013061523438
2024-08-07T17:44:58.839418,Steering Wheel Knob,Change Temperature,20,16.149324417114258
2024-08-07T17:44:59.792636,Steering Wheel Knob,Change Temperature,19,17.10254216194153
2024-08-07T17:45:00.128675,Steering Wheel Knob,Change Temperature,18,17.438580989837646
2024-08-07T17:45:00.703407,Steering Wheel Knob,Change Temperature,17,18.01331353187561
2024-08-07T17:45:19.467477,Audio,Play t28.mp3,17,36.77738285064697
2024-08-07T17:45:22.881519,Steering Wheel Knob,Change Temperature,18,40.19142484664917
2024-08-07T17:45:22.999786,Steering Wheel Knob,Change Temperature,19,40.30969262123108
2024-08-07T17:45:23.613843,Steering Wheel Knob,Change Temperature,20,40.92374849319458
2024-08-07T17:45:23.762645,Steering Wheel Knob,Change Temperature,21,41.07255172729492
2024-08-07T17:45:24.961891,Steering Wheel Knob,Change Temperature,22,42.27179765701294
2024-08-07T17:45:25.209691,Steering Wheel Knob,Change Temperature,23,42.51959729194641
2024-08-07T17:45:25.998547,Steering Wheel Knob,Change Temperature,24,43.30845332145691
2024-08-07T17:45:26.619188,Steering Wheel Knob,Change Temperature,25,43.929094314575195
2024-08-07T17:45:27.485735,Steering Wheel Knob,Change Temperature,26,44.79564070701599
2024-08-07T17:45:28.348019,Steering Wheel Knob,Change Temperature,27,45.657925605773926
2024-08-07T17:45:28.811388,Steering Wheel Knob,Change Temperature,28,46.121294021606445
2024-08-07T17:45:53.258027,Audio,Play t22.mp3,28,70.56793284416199
2024-08-07T17:45:56.678218,Steering Wheel Knob,Change Temperature,27,73.98812437057495
2024-08-07T17:45:57.192389,Steering Wheel Knob,Change Temperature,26,74.50229501724243
2024-08-07T17:45:57.835012,Steering Wheel Knob,Change Temperature,25,75.14491820335388
2024-08-07T17:45:58.764131,Steering Wheel Knob,Change Temperature,24,76.07403707504272
2024-08-07T17:45:59.018376,Steering Wheel Knob,Change Temperature,23,76.32828283309937
2024-08-07T17:45:59.792478,Steering Wheel Knob,Change Temperature,22,77.10238432884216
2024-08-07T17:46:11.618851,Audio,Play t25.mp3,22,88.92875695228577
2024-08-07T17:46:15.183672,Steering Wheel Knob,Change Temperature,23,92.49357843399048
2024-08-07T17:46:15.327863,Steering Wheel Knob,Change Temperature,24,92.63776922225952
2024-08-07T17:46:16.093270,Steering Wheel Knob,Change Temperature,25,93.40317678451538
2024-08-07T17:50:07.766694,Infotainment Knob,Change Temperature,24,325.07660031318665
2024-08-07T17:50:09.522194,Infotainment Knob,Change Temperature,25,326.8321006298065
2024-08-07T17:50:10.443939,Infotainment Knob,Change Temperature,26,327.75384521484375
2024-08-07T17:50:12.636471,Infotainment Knob,Change Temperature,25,329.9463770389557
