Timestamp,Interface,Action,Temperature,Elapsed Time
2024-08-07T17:38:47.014236,Audio,Play t24.mp3,19,356.5931372642517
2024-08-07T17:38:53.066431,Infotainment Touch,Change Temperature,20,362.6453335285187
2024-08-07T17:38:53.697499,Infotainment Touch,Change Temperature,21,363.2764012813568
2024-08-07T17:38:54.201907,Infotainment Touch,Change Temperature,22,363.7808094024658
2024-08-07T17:38:54.818817,Infotainment Touch,Change Temperature,23,364.3977196216583
2024-08-07T17:38:55.310453,Infotainment Touch,Change Temperature,24,364.8893551826477
2024-08-07T17:39:14.255399,Audio,Play t18.mp3,24,383.8343005180359
2024-08-07T17:39:16.921491,Infotainment Touch,Change Temperature,23,386.5003936290741
2024-08-07T17:39:17.221591,Infotainment Touch,Change Temperature,22,386.8004939556122
2024-08-07T17:39:17.744119,Infotainment Touch,Change Temperature,21,387.3230211734772
2024-08-07T17:39:17.940867,Infotainment Touch,Change Temperature,20,387.51977014541626
2024-08-07T17:39:18.346888,Infotainment Touch,Change Temperature,19,387.92579078674316
2024-08-07T17:39:18.762000,Infotainment Touch,Change Temperature,18,388.34090304374695
2024-08-07T17:39:47.764098,Audio,Play t39.mp3,18,417.3430006504059
2024-08-07T17:39:52.246181,Audio,Play t39.mp3,18,421.8250834941864
2024-08-07T17:39:59.817576,Audio,Play t22.mp3,18,429.3964784145355
2024-08-07T17:40:02.696255,Infotainment Touch,Change Temperature,19,432.27515745162964
2024-08-07T17:40:03.009408,Infotainment Touch,Change Temperature,20,432.5883102416992
2024-08-07T17:40:03.417577,Infotainment Touch,Change Temperature,21,432.9964802265167
2024-08-07T17:40:03.715350,Infotainment Touch,Change Temperature,22,433.29425263404846
