Timestamp,Interface,Action,Temperature,Elapsed Time
2024-08-07T17:57:16.478343,Audio,Play t20.mp3,25,21.91571807861328
2024-08-07T17:57:19.853993,Infotainment Knob,Change Temperature,24,25.291367292404175
2024-08-07T17:57:20.019278,Infotainment Knob,Change Temperature,23,25.456653833389282
2024-08-07T17:57:20.307939,Infotainment Knob,Change Temperature,22,25.745314121246338
2024-08-07T17:57:21.055414,Infotainment Knob,Change Temperature,21,26.492789268493652
2024-08-07T17:57:23.201315,Infotainment Knob,Change Temperature,20,28.63868999481201
2024-08-07T17:57:36.750630,Audio,Play t27.mp3,20,42.188005447387695
2024-08-07T17:57:45.215344,Infotainment Knob,Change Temperature,21,50.652719497680664
2024-08-07T17:57:45.884838,Infotainment Knob,Change Temperature,22,51.32221341133118
2024-08-07T17:57:46.101579,Infotainment Knob,Change Temperature,23,51.53895354270935
2024-08-07T17:57:47.658728,Infotainment Knob,Change Temperature,24,53.096102476119995
2024-08-07T17:57:47.824945,Infotainment Knob,Change Temperature,25,53.262320041656494
2024-08-07T17:57:47.977225,Infotainment Knob,Change Temperature,26,53.414599657058716
2024-08-07T17:57:48.103893,Infotainment Knob,Change Temperature,27,53.54126811027527
2024-08-07T17:57:48.596011,Infotainment Knob,Change Temperature,28,54.03338599205017
2024-08-07T17:57:53.127857,Infotainment Knob,Change Temperature,27,58.56523275375366
2024-08-07T17:58:04.702222,Audio,Play t16.mp3,27,70.1395959854126
2024-08-07T17:58:10.334191,Infotainment Knob,Change Temperature,26,75.77156591415405
2024-08-07T17:58:10.550920,Infotainment Knob,Change Temperature,25,75.98829531669617
2024-08-07T17:58:10.788479,Infotainment Knob,Change Temperature,24,76.22585415840149
2024-08-07T17:58:10.916110,Infotainment Knob,Change Temperature,23,76.35348606109619
2024-08-07T17:58:11.606570,Infotainment Knob,Change Temperature,22,77.0439453125
2024-08-07T17:58:11.750392,Infotainment Knob,Change Temperature,21,77.18776798248291
2024-08-07T17:58:11.888323,Infotainment Knob,Change Temperature,20,77.3256983757019
2024-08-07T17:58:11.971472,Infotainment Knob,Change Temperature,19,77.40884757041931
2024-08-07T17:58:12.529110,Infotainment Knob,Change Temperature,18,77.96648597717285
2024-08-07T17:58:14.225697,Infotainment Knob,Change Temperature,17,79.66307187080383
2024-08-07T17:58:14.373629,Infotainment Knob,Change Temperature,16,79.81100487709045
2024-08-07T17:58:14.564250,Infotainment Knob,Change Temperature,15,80.00162506103516
2024-08-07T17:58:17.135649,Infotainment Knob,Change Temperature,16,82.57302474975586
2024-08-07T17:58:17.292253,Infotainment Knob,Change Temperature,17,82.72962832450867
2024-08-07T17:58:21.513443,Infotainment Knob,Change Temperature,16,86.95081830024719
2024-08-07T17:58:28.662782,Audio,Play t24.mp3,16,94.1001570224762
2024-08-07T17:58:34.600520,Infotainment Knob,Change Temperature,17,100.03789567947388
2024-08-07T17:58:34.869128,Infotainment Knob,Change Temperature,18,100.30650305747986
2024-08-07T17:58:34.980125,Infotainment Knob,Change Temperature,19,100.41750001907349
2024-08-07T17:58:35.467843,Infotainment Knob,Change Temperature,20,100.90521812438965
2024-08-07T17:58:35.560966,Infotainment Knob,Change Temperature,21,100.99834108352661
2024-08-07T17:58:36.572978,Infotainment Knob,Change Temperature,22,102.01035284996033
2024-08-07T17:58:37.087794,Infotainment Knob,Change Temperature,23,102.52516961097717
2024-08-07T17:58:37.620595,Infotainment Knob,Change Temperature,24,103.05797004699707
2024-08-07T18:00:42.852413,Infotainment Knob,Change Temperature,23,228.2897880077362
2024-08-07T18:00:46.514954,Infotainment Knob,Change Temperature,24,231.95232963562012
2024-08-07T18:00:46.976758,Infotainment Knob,Change Temperature,25,232.41413283348083
2024-08-07T18:00:49.817286,Infotainment Knob,Change Temperature,24,235.25466084480286
2024-08-07T18:00:50.965081,Infotainment Knob,Change Temperature,23,236.40245604515076
2024-08-07T18:00:51.368433,Infotainment Knob,Change Temperature,22,236.80580806732178
2024-08-07T18:00:52.897635,Infotainment Knob,Change Temperature,23,238.33501076698303
2024-08-07T18:00:53.732442,Infotainment Knob,Change Temperature,24,239.16981673240662
2024-08-07T18:00:53.940004,Infotainment Knob,Change Temperature,25,239.37737894058228
2024-08-07T18:00:57.640359,Infotainment Knob,Change Temperature,24,243.07773399353027
2024-08-07T18:00:58.518690,Infotainment Knob,Change Temperature,23,243.9560649394989
2024-08-07T18:00:58.867946,Infotainment Knob,Change Temperature,22,244.30532145500183
2024-08-07T18:01:00.165075,Infotainment Knob,Change Temperature,21,245.60245037078857
2024-08-07T18:01:01.392089,Infotainment Knob,Change Temperature,20,246.82946467399597
2024-08-07T18:01:06.186072,Infotainment Knob,Change Temperature,21,251.62344694137573
2024-08-07T18:02:48.413521,Audio,Play t26.mp3,21,353.85089564323425
2024-08-07T18:02:52.509710,Audio,Play t26.mp3,21,357.9470851421356
2024-08-07T18:02:53.733235,Audio,Play t26.mp3,21,359.17060923576355
2024-08-07T18:03:11.458931,Audio,Play t19.mp3,21,376.8963055610657
2024-08-07T18:03:12.910495,Audio,Play t19.mp3,21,378.34787011146545
2024-08-07T18:03:13.288852,Audio,Play t19.mp3,21,378.7262268066406
2024-08-07T18:03:13.489931,Audio,Play t19.mp3,21,378.9273054599762
2024-08-07T18:03:13.696613,Audio,Play t19.mp3,21,379.1339876651764
2024-08-07T18:03:13.834262,Audio,Play t19.mp3,21,379.27163577079773
2024-08-07T18:03:14.007248,Audio,Play t19.mp3,21,379.4446210861206
2024-08-07T18:03:14.234441,Audio,Play t19.mp3,21,379.6718158721924
2024-08-07T18:03:18.531423,Audio,Play t21.mp3,21,383.968798160553
2024-08-07T18:03:18.739661,Audio,Play t21.mp3,21,384.17703437805176
2024-08-07T18:03:19.327804,Audio,Play t24.mp3,21,384.76517939567566
2024-08-07T18:03:19.539106,Audio,Play t24.mp3,21,384.97648096084595
2024-08-07T18:03:20.761374,Audio,Play t19.mp3,21,386.19874811172485
2024-08-07T18:03:20.869014,Audio,Play t19.mp3,21,386.3063893318176
2024-08-07T18:03:21.076197,Audio,Play t19.mp3,21,386.5135724544525
