Timestamp,Interface,Action,Temperature,Elapsed Time
2024-08-08T19:55:54.811784,Audio,Play t24.mp3,20,163.64760732650757
2024-08-08T19:55:58.096758,Steering Wheel Touch,Change Temperature,21,166.93258094787598
2024-08-08T19:55:58.189836,Steering Wheel Touch,Change Temperature,22,167.02565908432007
2024-08-08T19:55:58.394438,Steering Wheel Touch,Change Temperature,23,167.23026084899902
2024-08-08T19:55:59.029818,Steering Wheel Touch,Change Temperature,24,167.86564135551453
2024-08-08T19:56:20.620171,Audio,Play t18.mp3,24,189.4559941291809
2024-08-08T19:56:23.419389,Steering Wheel Touch,Change Temperature,23,192.2552125453949
2024-08-08T19:56:23.809980,Steering Wheel Touch,Change Temperature,22,192.6458032131195
2024-08-08T19:56:23.886634,Steering Wheel Touch,Change Temperature,21,192.7224576473236
2024-08-08T19:56:24.020763,Steering Wheel Touch,Change Temperature,20,192.85658597946167
2024-08-08T19:56:24.610192,Steering Wheel Touch,Change Temperature,19,193.44601488113403
2024-08-08T19:56:24.843857,Steering Wheel Touch,Change Temperature,18,193.6796805858612
2024-08-08T19:56:25.053934,Steering Wheel Touch,Change Temperature,17,193.8897569179535
2024-08-08T19:56:25.636663,Steering Wheel Touch,Change Temperature,16,194.47248578071594
2024-08-08T19:56:26.161484,Steering Wheel Touch,Change Temperature,17,194.99730730056763
2024-08-08T19:56:26.251208,Steering Wheel Touch,Change Temperature,18,195.08703207969666
2024-08-08T19:56:53.802671,Audio,Play t29.mp3,18,222.63849472999573
2024-08-08T19:56:56.584510,Steering Wheel Touch,Change Temperature,19,225.42033290863037
2024-08-08T19:56:56.873438,Steering Wheel Touch,Change Temperature,20,225.70926070213318
2024-08-08T19:56:57.002808,Steering Wheel Touch,Change Temperature,21,225.8386311531067
2024-08-08T19:56:57.297518,Steering Wheel Touch,Change Temperature,22,226.13334155082703
2024-08-08T19:56:58.428351,Steering Wheel Touch,Change Temperature,23,227.2641739845276
2024-08-08T19:57:00.254566,Steering Wheel Touch,Change Temperature,24,229.0903890132904
2024-08-08T19:57:00.571759,Steering Wheel Touch,Change Temperature,25,229.40758275985718
2024-08-08T19:57:01.001058,Steering Wheel Touch,Change Temperature,26,229.83688163757324
2024-08-08T19:57:01.188321,Steering Wheel Touch,Change Temperature,27,230.02414393424988
2024-08-08T19:57:01.618782,Steering Wheel Touch,Change Temperature,28,230.45460557937622
2024-08-08T19:57:01.993645,Steering Wheel Touch,Change Temperature,29,230.82946848869324
2024-08-08T19:57:13.158275,Audio,Play t21.mp3,29,241.99409818649292
