Timestamp,Interface,Action,Temperature,Elapsed Time
2024-08-08T19:36:23.018153,Audio,Play t17.mp3,15,15.362420797348022
2024-08-08T19:36:26.600859,Steering Wheel Knob,Change Temperature,15,18.94512701034546
2024-08-08T19:36:27.351843,Steering Wheel Knob,Change Temperature,16,19.696111917495728
2024-08-08T19:36:27.381140,Steering Wheel Knob,Change Temperature,17,19.725409030914307
2024-08-08T19:36:27.457300,Steering Wheel Knob,Change Temperature,18,19.80156922340393
2024-08-08T19:36:28.428633,Steering Wheel Knob,Change Temperature,17,20.77290153503418
2024-08-08T19:36:44.624565,Audio,Play t28.mp3,17,36.968833923339844
2024-08-08T19:36:47.362260,Steering Wheel Knob,Change Temperature,16,39.706528186798096
2024-08-08T19:36:47.805270,Steering Wheel Knob,Change Temperature,15,40.14953923225403
2024-08-08T19:36:47.949265,Steering Wheel Knob,Change Temperature,16,40.29353427886963
2024-08-08T19:36:48.015122,Steering Wheel Knob,Change Temperature,17,40.35939025878906
2024-08-08T19:36:48.450869,Steering Wheel Knob,Change Temperature,18,40.79513716697693
2024-08-08T19:36:48.513279,Steering Wheel Knob,Change Temperature,19,40.857548236846924
2024-08-08T19:36:48.609722,Steering Wheel Knob,Change Temperature,20,40.95399045944214
2024-08-08T19:36:49.069007,Steering Wheel Knob,Change Temperature,21,41.413275718688965
2024-08-08T19:36:49.117962,Steering Wheel Knob,Change Temperature,22,41.46223068237305
2024-08-08T19:36:50.460061,Steering Wheel Knob,Change Temperature,23,42.80432915687561
2024-08-08T19:36:50.931035,Steering Wheel Knob,Change Temperature,24,43.275304555892944
2024-08-08T19:36:51.347706,Steering Wheel Knob,Change Temperature,25,43.691974401474
2024-08-08T19:36:51.428878,Steering Wheel Knob,Change Temperature,26,43.773146629333496
2024-08-08T19:36:53.000363,Steering Wheel Knob,Change Temperature,27,45.344632148742676
2024-08-08T19:36:53.464742,Steering Wheel Knob,Change Temperature,28,45.80901122093201
2024-08-08T19:37:02.955844,Audio,Play t22.mp3,28,55.30011200904846
2024-08-08T19:37:06.053601,Steering Wheel Knob,Change Temperature,27,58.39786982536316
2024-08-08T19:37:06.436258,Steering Wheel Knob,Change Temperature,26,58.78052592277527
2024-08-08T19:37:06.520657,Steering Wheel Knob,Change Temperature,25,58.8649263381958
2024-08-08T19:37:09.051148,Steering Wheel Knob,Change Temperature,24,61.39541673660278
2024-08-08T19:37:09.462121,Steering Wheel Knob,Change Temperature,23,61.80638933181763
2024-08-08T19:37:09.894545,Steering Wheel Knob,Change Temperature,22,62.23881387710571
2024-08-08T19:37:29.884405,Audio,Play t25.mp3,22,82.22867202758789
2024-08-08T19:37:34.076251,Steering Wheel Knob,Change Temperature,23,86.42051935195923
2024-08-08T19:37:34.208915,Steering Wheel Knob,Change Temperature,24,86.55318331718445
2024-08-08T19:37:35.001276,Steering Wheel Knob,Change Temperature,25,87.3455445766449
2024-08-08T19:37:35.124649,Steering Wheel Knob,Change Temperature,26,87.46891832351685
2024-08-08T19:37:36.470453,Steering Wheel Knob,Change Temperature,25,88.81472110748291

